web-scraper-order,web-scraper-start-url,title,image-src,description,type
"1646905369-492","https://www.3djuegos.com/juegos/android/","El nuevo nivel de DOOM 2, creado para recaudar fondos para Ucrania, ya acumula más de 25.000 dólares","https://i.3djuegos.com/juegos/5426/doom_2/fotos/noticias/doom_2-5625020.webp","John Romero, principal figura detrás de DOOM, promovió esta iniciativa hace tan solo unos días.","Noticia"
"1646905369-499","https://www.3djuegos.com/juegos/android/","This War of Mine reúne cerca de 700.000 dólares para Ucrania tras bajar de precio en todas las plataformas","https://i.3djuegos.com/juegos/10809/this_war_of_mine/fotos/noticias/this_war_of_mine-5623439.webp","El movimiento de 11 bit studios fue más que efectivo, por lo que el estudio continuará recaudando dinero.","Noticia"
"1646905369-490","https://www.3djuegos.com/juegos/android/","Blizzard nos cita para el anuncio de su expansión de World of Warcraft y su nuevo juego de móviles","https://i.3djuegos.com/juegos/607/world_of_warcraft/fotos/noticias/world_of_warcraft-5625077.webp","Antes se revelará la expansión de Hearthstone, que será la primera de todas que conoceremos.","Noticia"
"1646905369-500","https://www.3djuegos.com/juegos/android/","El creador de DOOM publica un nuevo nivel de DOOM 2 para recaudar fondos para Ucrania","https://i.3djuegos.com/juegos/5426/doom_2/fotos/noticias/doom_2-5622688.webp","La guerra entre Ucrania y Rusia ha hecho que John Romero lance su primer mapa desde 1994.","Noticia"
"1646905369-487","https://www.3djuegos.com/juegos/android/","Guía de las mejores armas de Elden Ring: ¡tier list y dónde encontrarlas!","https://i.blogs.es/74391d/tier-armas-elden/original.jpeg","Lista de las mejores armas de Elden Ring ordenadas de mejor a peor","Noticia"
"1646905369-505","https://www.3djuegos.com/juegos/android/","Una nueva aventura match-3 nos espera en Puzzle Quest 3: tráiler de lanzamiento del RPG de puzles","https://i.3djuegos.com/juegos/18390/puzzle_quest_3/fotos/videos/puzzle_quest_3-5621455.webp","Conecta gemas en cualquier dirección para cargar tus hechizos y desatar poderosos ataques en batallas 1 contra 1 llenas de...","Video"
"1646905369-491","https://www.3djuegos.com/juegos/android/","Elden Ring se puede 'pausar' sin instalar mods, y es la cosa más tonta del mundo","https://i.blogs.es/0016d5/pausa-elden/original.jpeg","Aprende a detener o pausar la partida de Elden Ring cuando lo necesites","Noticia"
"1646905369-507","https://www.3djuegos.com/juegos/android/","GTA: The Trilogy lanza un nuevo parche con más de 100 correcciones para los tres juegos","https://i.3djuegos.com/juegos/18210/grand_theft_auto_the_trilogy_____the_definitive_edition/fotos/noticias/grand_theft_auto_the_trilogy_____the_definitive_edition-5619620.webp","Su lanzamiento inicial en noviembre vino acompañado con un gran número de errores gráficos.","Noticia"
"1646905369-504","https://www.3djuegos.com/juegos/android/","Free Fire y BTS en una combinación inesperada: la nueva colaboración del battle royale llegará pronto","https://i.3djuegos.com/juegos/16349/free_fire/fotos/noticias/free_fire-5620827.webp","Los íconos del pop coreano invadirán nuestros dispositivos móviles en un evento aún desconocido.","Noticia"
"1646905369-494","https://www.3djuegos.com/juegos/android/","Ubisoft también detiene las ventas de sus videojuegos en Rusia por la invasión a Ucrania","https://i.3djuegos.com/juegos/5919/_logos_y_personajes_/fotos/noticias/_logos_y_personajes_-5624667.webp","La compañía se suma así a EA, Epic Games, Activision y otras compañías que han decidido salir del mercado ruso.","Noticia"
"1646905369-509","https://www.3djuegos.com/juegos/android/","20 juegos de plataformas más difíciles: ¿Cuáles de ellos te has pasado?","https://i.3djuegos.com/juegos/3405/_articulos_/fotos/articulos/_articulos_-5618655.webp","Si te gustan los juegos de plataformas, de dar saltos sin parar y que además tengan un gran desafío, estás en el lugar...","Reportaje especial"
"1646905369-489","https://www.3djuegos.com/juegos/android/","Juega a lo que quieras por menos de 1.000 euros con este portátil con RTX 3050 y Ryzen 7","https://i.blogs.es/0758c9/rog/original.jpeg","Juega a todo ahorrando con este excelente equipo de Asus ROG.","Noticia"
"1646905369-495","https://www.3djuegos.com/juegos/android/","Elden Ring en modo pesadilla: cómo cinco periodistas navegaron entre el privilegio y la ansiedad para analizar el juego del año","https://i.blogs.es/a7972b/elden-ring-new-header-mobile/original.jpeg","Hemos hablado con cinco periodistas para que nos cuenten cómo fue el reto de tener que analizar Elden Ring a contrarreloj y...","Noticia"
"1646905369-484","https://www.3djuegos.com/juegos/android/","Ya tengo Steam Deck y te cuento cómo es el híbrido de PC y consola de Valve desde que llega hasta que te pones a hacer benchmarks","https://i.blogs.es/ff9d82/steam_deck-5483300/original.jpeg","Es hora de pasarse a portátil, pero de una forma distinta.","Noticia"
"1646905369-496","https://www.3djuegos.com/juegos/android/","Tráiler de lanzamiento de Hitman Sniper: The Shadows, un RPG para móviles del universo del Agente 47","https://i.3djuegos.com/juegos/18396/hitman_sniper_the_shadows/fotos/videos/hitman_sniper_the_shadows-5624210.webp","Desde este 3 de marzo puedes descargar en móviles iOS y Android Hitman Sniper: The Shadows, la nueva entrega de la serie...","Video"
"1646905369-488","https://www.3djuegos.com/juegos/android/","Orange y MásMóvil negocian para fusionarse: el acuerdo histórico tendrá un valor estimado de casi 20.000 millones de euros","https://i.blogs.es/907f27/orange/original.jpeg","La joint venture creará un gigante del mercado de las telecomunicaciones que amenaza la posición de Telefónica.","Noticia"
"1646905369-493","https://www.3djuegos.com/juegos/android/","Pokémon GO: cómo conseguir a Tapu Koko durante la Temporada de Alola","https://i.blogs.es/024eef/screenshot_10/original.png","Con la llegadas de la Temporada de Alola a Pokémon GO muchos ejemplares de la región vuelven a estar disponibles, incluyendo...","Noticia"
"1646905369-503","https://www.3djuegos.com/juegos/android/","Se filtra una colaboración entre Assassin's Creed y Fortnite que llevara a un personaje al juego de Epic","https://i.3djuegos.com/juegos/8298/fortnite/fotos/noticias/fortnite-5621469.webp","Hay imágenes y vídeos de un aspecto de Ezio Auditore, protagonista de varias entregas de Ubisoft.","Noticia"
"1646905369-497","https://www.3djuegos.com/juegos/android/","Se lanza PlayEquall, una campaña para promover la diversidad, la igualdad y la inclusión en los videojuegos","https://i.3djuegos.com/juegos/17692/_noticias2020_/fotos/noticias/_noticias2020_-5623587.webp","Esta iniciativa nace con el compromiso de sumar al proyecto el máximo número posible de compañías e instituciones.","Noticia"
"1646905369-482","https://www.3djuegos.com/juegos/android/","Cuál es la diferencia entre UX y UI, y por qué Elden Ring deja bastante que desear en ambas","https://i.blogs.es/e4bb94/240485-melina-orig-1-amp_main_media_schema-1/original.jpeg","A diferencia de su jugabilidad, la UI/UX de Elden Ring no es la mejor que puedes encontrar.","Noticia"
"1646905369-506","https://www.3djuegos.com/juegos/android/","Elden Ring, el nuevo Pokémon y Horizon: Forbidden West entre lo más destacado en videojuegos en febrero","https://i.3djuegos.com/juegos/3405/_articulos_/fotos/articulos/_articulos_-5619578.webp","Dying Light 2, Total War: Warhammer 3, Horizon: Forbidden West, Elden Ring o SIFU marcan un mes lleno de grandes lanzamientos...","Reportaje especial"
"1646905369-485","https://www.3djuegos.com/juegos/android/","Netflix ficha a un veterano de PlayStation para impulsar su división de videojuegos","https://i.3djuegos.com/juegos/5919/_logos_y_personajes_/fotos/noticias/_logos_y_personajes_-5625631.webp","La plataforma de streaming de cine y TV sigue dando pasos en su expansión hacia la industria.","Noticia"
"1646905369-502","https://www.3djuegos.com/juegos/android/","Dead by Daylight también tendrá juego de mesa garantizando adaptar fielmente la experiencia de terror","https://i.3djuegos.com/juegos/12790/dead_by_daylight/fotos/noticias/dead_by_daylight-5621494.webp","Supervivientes y asesinos se verán las caras ahora sobre la mesa de tu salón, aunque antes toca un Kickstarter.","Noticia"
"1646905369-481","https://www.3djuegos.com/juegos/android/","El director de Hearthstone abandona el juego y se encargará de un proyecto secreto de Blizzard","https://i.3djuegos.com/juegos/9766/hearthstone_heroes_of_warcraft/fotos/noticias/hearthstone_heroes_of_warcraft-5626491.webp","Ben Lee también ha querido adelantar que llegar nuevas cartas al juego muy pronto.","Noticia"
"1646905369-483","https://www.3djuegos.com/juegos/android/","Así han influido los autores de Dragon Ball y Chihiro al artista de Secret of Mana y los videojuegos en Japón","https://i.3djuegos.com/juegos/3405/_articulos_/fotos/articulos/_articulos_-5625778.webp","Charlamos con Shinichi Kameoka, director de Brownies, del reciente Egglia: Rebirth y responsable artístico de la serie Mana....","Reportaje especial"
"1646905369-510","https://www.3djuegos.com/juegos/android/","Pokémon GO recibirá nuevos Pokémon de Alola: los iniciales de Sol y Luna preparan su llegada","https://i.3djuegos.com/juegos/12395/pok_mon_go/fotos/noticias/pok_mon_go-5618912.webp","Rowlet, Litten y Popplio acompañarán a las nuevas criaturas de la séptima generación en el juego de Niantic.","Noticia"
"1646905369-498","https://www.3djuegos.com/juegos/android/","El tutorial de Elden Ring, ¿genialidad o estupidez?: un interesante debate sobre diseño en el que ambas partes tienen razón","https://i.blogs.es/246421/eldentut0/original.jpeg","El debate sobre si el tutorial de Elden Ring es un acierto o un error arroja mucho más que una simple respuesta de blanco o negro.","Noticia"
"1646905369-486","https://www.3djuegos.com/juegos/android/","14 juegos con descuentazos en las Ofertas de la semana de GOG: Control o Hellblade: Senua's Sacrifice por menos de 15 euros","https://i.blogs.es/edadb4/juegos-oferta-gog/original.jpeg","Grandes juegos desde menos de un euro.","Noticia"
"1646905369-501","https://www.3djuegos.com/juegos/android/","Ucrania pide a PlayStation y Xbox bloquear sus servicios en Rusia tras pasar Apple a la acción","https://i.3djuegos.com/juegos/17692/_noticias2020_/fotos/noticias/_noticias2020_-5621732.webp","Por el momento no hay respuesta: la compañía de Cupertino paralizó la venta de sus productos en Rusia ayer.","Noticia"
"1646905369-508","https://www.3djuegos.com/juegos/android/","Dead Space luce más clásico que nunca en este demake para la PlayStation original","https://i.3djuegos.com/juegos/2553/dead_space/fotos/noticias/dead_space-5619286.webp","Este vídeo nos enseña cómo podría haber sido el juego de terror de Electronic Arts en la consola de Sony.","Fenómeno Fan"
